Machine,Output,Downtime (min),Defects,Temperature (°C),Vibration (mm/s)
M1,95,10,2,67,2.1
M1,91,15,4,69,2.3
M1,96,8,2,66,2.0
M1,94,11,3,68,2.2
M1,97,6,1,65,1.9
M1,93,12,3,68,2.2
M1,92,14,2,69,2.4
M1,96,7,1,66,2.0
M1,94,10,2,67,2.1
M1,90,16,4,70,2.5
M1,95,9,2,67,2.2
M1,93,12,3,68,2.3
M2,84,22,6,75,3.1
M2,87,19,5,73,2.9
M2,82,27,7,76,3.3
M2,86,21,5,74,3.0
M2,80,31,8,78,3.5
M2,88,18,4,72,2.8
M2,83,25,6,76,3.2
M2,85,23,6,75,3.1
M2,89,17,4,72,2.7
M2,81,29,7,77,3.4
M2,86,20,5,74,3.0
M2,84,24,6,75,3.2
M3,72,38,9,84,4.6
M3,76,34,8,82,4.3
M3,69,45,11,87,5.1
M3,74,39,9,85,4.7
M3,78,31,7,81,4.1
M3,71,42,10,86,4.9
M3,75,36,8,83,4.4
M3,68,48,12,89,5.4
M3,77,33,7,82,4.2
M3,73,40,9,85,4.8
M3,70,44,11,88,5.2
M3,76,35,8,83,4.5
M4,93,12,8,70,2.4
M4,91,14,9,71,2.5
M4,95,9,7,69,2.2
M4,92,13,10,72,2.6
M4,94,11,8,70,2.3
M4,90,16,11,73,2.7
M4,96,8,6,68,2.1
M4,92,13,9,71,2.5
M4,94,10,8,70,2.3
M4,89,18,12,74,2.8
M4,95,9,7,69,2.2
M4,91,15,10,72,2.6
M5,88,12,3,71,2.6
M5,79,35,5,74,3.1
M5,91,9,3,70,2.4
M5,76,41,7,77,3.6
M5,89,14,4,72,2.7
M5,82,28,5,75,3.2
M5,92,8,2,69,2.3
M5,74,46,8,79,3.9
M5,87,16,4,72,2.8
M5,80,33,6,76,3.4
M5,90,11,3,70,2.5
M5,78,38,7,78,3.7
