Timestamp,Machine,Planned Output,Actual Output,Downtime (min),Reject Qty,Temperature (°C),Vibration (mm/s),Energy (kWh),Inventory Level,Material Delay (min)
08:00,M1,100,95,8,2,67,2.1,42,520,0
09:00,M1,100,96,6,2,66,2.0,41,500,0
10:00,M1,100,93,10,3,68,2.2,43,480,0
11:00,M1,100,94,9,2,67,2.1,42,460,0
12:00,M1,100,91,14,4,69,2.4,44,440,5
13:00,M1,100,96,6,1,66,2.0,41,420,0
14:00,M1,100,95,8,2,67,2.1,42,400,0
15:00,M1,100,92,12,3,69,2.3,44,380,0
16:00,M1,100,94,9,2,68,2.2,43,360,0
17:00,M1,100,90,15,4,70,2.5,45,340,5
18:00,M1,100,95,7,2,67,2.1,42,320,0
19:00,M1,100,93,11,3,68,2.3,43,300,0
20:00,M1,100,96,6,1,66,2.0,41,280,0
21:00,M1,100,92,12,3,69,2.3,44,260,0
22:00,M1,100,94,9,2,68,2.2,43,240,0
08:00,M2,100,88,17,4,72,2.8,46,500,0
09:00,M2,100,86,20,5,74,3.0,47,480,0
10:00,M2,100,84,23,6,75,3.1,48,460,5
11:00,M2,100,87,18,4,73,2.9,46,440,0
12:00,M2,100,82,27,7,76,3.3,50,420,10
13:00,M2,100,85,22,5,75,3.1,48,400,0
14:00,M2,100,80,30,8,78,3.5,52,380,15
15:00,M2,100,86,20,5,74,3.0,47,360,0
16:00,M2,100,89,16,4,72,2.8,46,340,0
17:00,M2,100,83,25,6,76,3.2,49,320,10
18:00,M2,100,85,22,5,75,3.1,48,300,0
19:00,M2,100,81,29,7,77,3.4,51,280,10
20:00,M2,100,87,19,4,73,2.9,47,260,0
21:00,M2,100,84,24,6,75,3.2,49,240,5
22:00,M2,100,86,21,5,74,3.0,48,220,0
08:00,M3,100,78,31,7,81,4.1,55,510,0
09:00,M3,100,76,34,8,82,4.3,56,490,0
10:00,M3,100,72,38,9,84,4.6,58,470,5
11:00,M3,100,74,39,9,85,4.7,59,450,0
12:00,M3,100,69,45,11,87,5.1,62,430,10
13:00,M3,100,71,42,10,86,4.9,61,410,5
14:00,M3,100,75,36,8,83,4.4,57,390,0
15:00,M3,100,68,48,12,89,5.4,64,370,10
16:00,M3,100,77,33,7,82,4.2,56,350,0
17:00,M3,100,73,40,9,85,4.8,60,330,5
18:00,M3,100,70,44,11,88,5.2,63,310,10
19:00,M3,100,76,35,8,83,4.5,58,290,0
20:00,M3,100,71,43,10,86,5.0,61,270,5
21:00,M3,100,67,50,13,90,5.6,66,250,15
22:00,M3,100,72,41,9,85,4.8,60,230,5
08:00,M4,100,94,9,7,69,2.2,44,500,0
09:00,M4,100,92,12,8,70,2.4,45,480,0
10:00,M4,100,95,8,6,68,2.1,43,460,0
11:00,M4,100,91,14,9,71,2.5,46,440,0
12:00,M4,100,93,11,8,70,2.3,45,420,5
13:00,M4,100,90,16,10,72,2.6,47,400,0
14:00,M4,100,96,7,6,68,2.0,43,380,0
15:00,M4,100,92,13,9,71,2.5,46,360,0
16:00,M4,100,94,10,8,70,2.3,45,340,0
17:00,M4,100,89,18,11,73,2.8,48,320,5
18:00,M4,100,95,8,7,69,2.2,44,300,0
19:00,M4,100,91,15,10,72,2.6,47,280,0
20:00,M4,100,93,11,8,70,2.3,45,260,0
21:00,M4,100,90,17,11,73,2.7,48,240,5
22:00,M4,100,94,10,7,69,2.2,44,220,0
08:00,M5,100,91,8,2,69,2.3,43,360,0
09:00,M5,100,88,13,3,71,2.6,45,330,0
10:00,M5,100,82,25,4,74,3.0,48,300,10
11:00,M5,100,90,9,2,70,2.4,44,270,0
12:00,M5,100,79,32,5,76,3.3,50,240,15
13:00,M5,100,87,15,3,72,2.7,46,210,0
14:00,M5,100,75,40,6,78,3.7,53,180,20
15:00,M5,100,89,11,3,71,2.5,45,150,0
16:00,M5,100,73,44,7,79,3.9,55,120,25
17:00,M5,100,86,17,4,73,2.8,47,90,10
18:00,M5,100,70,48,8,80,4.1,57,60,30
19:00,M5,100,84,20,4,74,3.0,48,40,15
20:00,M5,100,68,50,8,81,4.2,58,20,35
21:00,M5,100,65,52,9,82,4.4,60,10,40
22:00,M5,100,63,55,10,83,4.5,61,5,45
