"TransactionID,TransactionDate,OrderID,Revenue,COGS,GrossProfit,OperatingExpenses,NetProfit"
"TX00001,2023-09-27,1,4138.01,1655.25,2482.76,631.81,1850.95"
"TX00002,2023-03-20,2,7334.280000000001,2933.6800000000003,4400.6,2778.65,1621.95"
"TX00003,2023-08-04,3,19933.64,7973.48,11960.16,2393.2,9566.96"
"TX00004,2023-04-10,4,17031.05,6812.360000000001,10218.69,97.05,10121.64"
"TX00005,2023-07-28,5,4509.52,1803.8600000000001,2705.66,2130.28,575.38"
"TX00006,2023-10-11,6,10912.96,4365.26,6547.7,2398.78,4148.92"
"TX00007,2023-06-17,7,26007.29,10402.880000000001,15604.41,2018.73,13585.68"
"TX00008,2023-12-26,8,14433.689999999999,5773.5199999999995,8660.17,638.25,8021.92"
"TX00009,2023-03-06,9,9156.33,3662.52,5493.81,2412.26,3081.55"
"TX00010,2023-07-05,10,11149.35,4459.63,6689.72,547.63,6142.09"
"TX00011,2023-09-27,11,8539.039999999999,3415.6099999999997,5123.43,1674.08,3449.35"
"TX00012,2023-06-23,12,17790.66,7116.35,10674.31,2832.31,7842.0"
"TX00013,2023-03-01,13,4110.549999999999,1644.22,2466.33,1091.59,1374.74"
"TX00014,2023-10-28,14,12049.779999999999,4819.96,7229.82,746.37,6483.45"
"TX00015,2023-08-14,15,7001.64,2800.6899999999996,4200.95,2255.19,1945.76"
"TX00016,2023-05-30,16,13371.960000000001,5348.71,8023.25,237.11,7786.14"
"TX00017,2023-10-14,17,28629.9,11451.94,17177.96,1231.35,15946.61"
"TX00018,2023-09-28,18,14741.42,5896.49,8844.93,2340.42,6504.51"
"TX00019,2023-03-15,19,26917.440000000002,10766.869999999999,16150.57,929.52,15221.05"
"TX00020,2023-06-27,20,9089.03,3635.67,5453.36,1741.68,3711.68"
"TX00021,2023-01-02,21,6867.44,2747.04,4120.4,2683.21,1437.19"
"TX00022,2023-09-01,22,1889.86,755.93,1133.93,1533.41,-399.48"
"TX00023,2023-01-01,23,20221.58,8088.59,12132.99,914.71,11218.28"
"TX00024,2023-11-06,24,24225.43,9690.119999999999,14535.31,1434.0,13101.31"
"TX00025,2023-07-15,25,31186.22,12474.5,18711.72,2122.0,16589.72"
"TX00026,2023-07-29,26,11048.71,4419.54,6629.17,628.11,6001.06"
"TX00027,2023-04-17,27,21106.73,8442.619999999999,12664.11,2166.25,10497.86"
"TX00028,2023-06-04,28,14447.95,5779.240000000001,8668.71,2980.43,5688.28"
"TX00029,2023-04-26,29,28275.75,11310.32,16965.43,326.88,16638.55"
"TX00030,2023-01-14,30,22524.4,9009.74,13514.66,1914.69,11599.97"
"TX00031,2023-01-01,31,23287.73,9315.1,13972.63,1061.22,12911.41"
"TX00032,2023-09-10,32,12615.56,5046.24,7569.32,600.58,6968.74"
"TX00033,2023-05-12,33,26919.84,10767.84,16152.0,804.47,15347.53"
"TX00034,2023-08-27,34,9666.15,3866.54,5799.61,351.75,5447.86"
"TX00035,2023-06-28,35,17106.52,6842.4800000000005,10264.04,2464.8,7799.24"
"TX00036,2023-01-14,36,20971.2,8388.58,12582.62,1371.21,11211.41"
"TX00037,2023-06-11,37,4755.200000000001,1902.12,2853.08,2913.67,-60.59"
"TX00038,2023-04-30,38,17126.81,6850.570000000001,10276.24,2852.85,7423.39"
"TX00039,2023-12-30,39,23731.51,9492.35,14239.16,2743.43,11495.73"
"TX00040,2023-01-06,40,6285.09,2514.04,3771.05,2701.28,1069.77"
"TX00041,2023-11-25,41,1121.66,448.65999999999997,673.0,673.01,-0.01"
"TX00042,2023-04-18,42,13724.58,5489.88,8234.7,2509.05,5725.65"
"TX00043,2023-07-23,43,8734.970000000001,3493.94,5241.03,2796.23,2444.8"
"TX00044,2023-05-20,44,16708.99,6683.55,10025.44,368.48,9656.96"
"TX00045,2023-12-20,45,3476.9500000000003,1390.93,2086.02,2546.8,-460.78"
"TX00046,2023-02-12,46,7944.030000000001,3177.63,4766.4,1094.82,3671.58"
"TX00047,2023-11-14,47,8895.92,3558.25,5337.67,2394.35,2943.32"
"TX00048,2023-11-07,48,15281.27,6112.6,9168.67,1686.12,7482.55"
"TX00049,2023-04-23,49,22031.18,8812.56,13218.62,583.59,12635.03"
"TX00050,2023-09-11,50,7611.33,3044.5899999999997,4566.74,516.61,4050.13"
"TX00051,2023-10-25,51,2075.76,830.28,1245.48,394.1,851.38"
"TX00052,2023-03-27,52,9791.24,3916.5699999999997,5874.67,1539.11,4335.56"
"TX00053,2023-09-22,53,4256.82,1702.71,2554.11,2612.68,-58.57"
"TX00054,2023-04-26,54,11975.289999999999,4790.09,7185.2,1400.67,5784.53"
"TX00055,2023-10-26,55,9631.880000000001,3852.74,5779.14,1674.92,4104.22"
"TX00056,2023-05-05,56,13258.19,5303.12,7955.07,883.71,7071.36"
"TX00057,2023-12-11,57,12760.43,5104.1900000000005,7656.24,1831.0,5825.24"
"TX00058,2023-11-28,58,15814.699999999999,6325.82,9488.88,277.96,9210.92"
"TX00059,2023-12-24,59,17901.85,7160.87,10740.98,1131.75,9609.23"
"TX00060,2023-04-17,60,12355.28,4942.13,7413.15,990.17,6422.98"
"TX00061,2023-01-22,61,21837.620000000003,8734.94,13102.68,1249.87,11852.81"
"TX00062,2023-02-04,62,9311.34,3724.48,5586.86,2901.0,2685.86"
"TX00063,2023-10-14,63,21788.19,8715.3,13072.89,2094.85,10978.04"
"TX00064,2023-10-14,64,18388.02,7355.27,11032.75,1038.27,9994.48"
"TX00065,2023-07-05,65,14535.13,5813.95,8721.18,1233.28,7487.9"
"TX00066,2023-03-30,66,29517.98,11807.060000000001,17710.92,2759.9,14951.02"
"TX00067,2023-01-06,67,22430.24,8972.24,13458.0,836.33,12621.67"
"TX00068,2023-05-20,68,5443.98,2177.61,3266.37,1470.7,1795.67"
"TX00069,2023-06-12,69,22274.34,8909.789999999999,13364.55,2845.53,10519.02"
"TX00070,2023-05-25,70,30230.98,12092.48,18138.5,2442.03,15696.47"
"TX00071,2023-11-30,71,4856.299999999999,1942.56,2913.74,2413.97,499.77"
"TX00072,2023-07-29,72,16700.3,6680.13,10020.17,2500.55,7519.62"
"TX00073,2023-12-29,73,16916.0,6766.51,10149.49,2543.18,7606.31"
"TX00074,2023-09-12,74,3637.7,1455.03,2182.67,339.36,1843.31"
"TX00075,2023-02-22,75,9088.68,3635.4900000000002,5453.19,808.61,4644.58"
"TX00076,2023-03-08,76,14773.849999999999,5909.55,8864.3,2863.42,6000.88"
"TX00077,2023-06-17,77,10711.32,4284.51,6426.81,2828.31,3598.5"
"TX00078,2023-07-26,78,28459.34,11383.77,17075.57,2552.94,14522.63"
"TX00079,2023-09-02,79,13683.34,5473.389999999999,8209.95,50.52,8159.43"
"TX00080,2023-04-18,80,2663.8,1065.52,1598.28,2906.05,-1307.77"
"TX00081,2023-08-22,81,21495.85,8598.42,12897.43,1860.51,11036.92"
"TX00082,2023-10-07,82,17262.97,6905.31,10357.66,2716.34,7641.32"
"TX00083,2023-07-18,83,11513.529999999999,4605.5,6908.03,1086.72,5821.31"
"TX00084,2023-04-08,84,11261.279999999999,4504.4,6756.88,1670.59,5086.29"
"TX00085,2023-02-28,85,19521.78,7808.719999999999,11713.06,1056.33,10656.73"
"TX00086,2023-09-10,86,6768.98,2707.66,4061.32,2496.31,1565.01"
"TX00087,2023-07-02,87,9232.42,3692.96,5539.46,59.9,5479.56"
"TX00088,2023-07-14,88,5868.88,2347.52,3521.36,514.85,3006.51"
"TX00089,2023-10-07,89,20544.76,8217.869999999999,12326.89,2369.66,9957.23"
"TX00090,2023-05-31,90,29261.1,11704.56,17556.54,2491.21,15065.33"
"TX00091,2023-05-12,91,5686.14,2274.32,3411.82,1378.0,2033.82"
"TX00092,2023-06-08,92,13561.57,5424.65,8136.92,1219.09,6917.83"
"TX00093,2023-06-14,93,10177.16,4070.8599999999997,6106.3,1849.86,4256.44"
"TX00094,2023-03-19,94,6034.16,2413.67,3620.49,1267.9,2352.59"
"TX00095,2023-03-25,95,5437.01,2174.8199999999997,3262.19,965.15,2297.04"
"TX00096,2023-11-06,96,29630.19,11851.92,17778.27,1318.33,16459.94"
"TX00097,2023-12-19,97,13744.88,5497.9,8246.98,2900.22,5346.76"
"TX00098,2023-02-19,98,7055.92,2822.32,4233.6,1257.24,2976.36"
"TX00099,2023-10-12,99,298.02,119.21,178.81,782.07,-603.26"
"TX00100,2023-09-10,100,14831.05,5932.38,8898.67,2560.48,6338.19"
"TX00101,2023-06-03,101,37362.8,14945.14,22417.66,2318.92,20098.74"
"TX00102,2023-07-27,102,9300.949999999999,3720.45,5580.5,2344.18,3236.32"
"TX00103,2023-04-05,103,31634.96,12654.109999999999,18980.85,700.34,18280.51"
"TX00104,2023-11-11,104,1887.05,754.82,1132.23,1194.87,-62.64"
"TX00105,2023-06-25,105,19046.230000000003,7618.54,11427.69,308.71,11118.98"
"TX00106,2023-02-22,106,13809.19,5523.6900000000005,8285.5,392.06,7893.44"
"TX00107,2023-11-13,107,9056.380000000001,3622.61,5433.77,2629.59,2804.18"
"TX00108,2023-04-30,108,12423.74,4969.58,7454.16,1239.99,6214.17"
"TX00109,2023-11-28,109,26217.96,10487.08,15730.88,574.87,15156.01"
"TX00110,2023-02-09,110,6457.5,2583.0,3874.5,1366.73,2507.77"
