date, pm25, pm10
2023/8/1, 102, 55
2023/8/2, 130, 65
2023/8/3, 135, 68
2023/8/4, 136, 60
2023/8/5, 125, 91
2023/8/6, 144, 81
2023/8/7, 159, 69
2023/8/8, 157, 66
2023/8/9, 151, 67
2023/8/10, 156, 67
2023/8/11, 169, 
2023/7/1, 127, 
2023/7/2, 115, 
2023/7/3, 129, 
2023/7/4, 116, 
2023/7/5, 143, 
2023/7/6, 142, 
2023/7/7, 136, 
2023/7/8, 106, 
2023/7/9, 100, 
2023/7/10, 109, 
2023/7/11, 107, 
2023/7/12, 150, 
2023/7/13, 143, 
2023/7/14, 130, 
2023/7/15, 110, 63
2023/7/16, 122, 
2023/7/17, 117, 
2023/7/18, 143, 
2023/7/19, 126, 
2023/7/20, 105, 
2023/7/21, 141, 
2023/7/22, 134, 
2023/7/23, 126, 
2023/7/24, 113, 
2023/7/25, 156, 
2023/7/26, 126, 
2023/7/27, 148, 
2023/7/28, 139, 
2023/7/29, 145, 
2023/7/30, 135, 
2023/7/31, 132, 102
2023/4/1, 29, 
2023/4/2, 67, 
2023/4/3, 109, 
2023/4/4, 78, 
2023/4/5, 89, 62
2023/4/6, 65, 36
2023/4/7, 91, 
2023/4/8, 115, 
2023/4/9, 102, 
2023/4/10, 36, 30
2023/4/11, 33, 
2023/4/12, 34, 
2023/4/13, 42, 
2023/4/14, 76, 
2023/4/15, 95, 
2023/4/16, 66, 
2023/4/17, 52, 48
2023/4/18, 105, 
2023/4/19, 101, 
2023/4/20, 101, 
2023/4/21, 92, 
2023/4/22, 96, 
2023/4/23, 90, 
2023/4/24, 84, 
2023/4/25, 56, 
2023/4/26, 78, 
2023/4/27, 86, 
2023/4/28, 58, 
2023/4/29, 119, 
2023/4/30, 106, 
2023/5/1, 97, 
2023/5/2, 126, 
2023/5/3, 88, 
2023/5/4, 64, 
2023/5/5, 96, 
2023/5/6, 84, 
2023/5/7, 115, 
2023/5/8, 79, 
2023/5/9, 118, 
2023/5/10, 132, 
2023/5/11, 99, 
2023/5/12, 53, 
2023/5/13, 90, 
2023/5/14, 87, 
2023/5/15, 113, 
